type,area,neighborhood,latitude,longitude,age,floor,bedrooms,price,sqmprice,zone,street,elevator,parking,storage,yard,balcony,reconstructed
1,250.0,1,36.38066723684211,59.484675580725245,0.0,0.0,1.0,2850000000,11400000.0,12.0,35,0,0,1,0,1,0
1,160.0,0,36.32754,59.52752,17.0,0.0,2.0,6770000000,42312500.0,11.0,7,0,1,1,0,1,0
0,110.0,1,36.374702,59.47151,0.0,2.0,2.0,3400000000,30909090.0,12.0,29,1,1,1,0,0,0
0,195.0,8,36.28718,59.57472,1.0,3.0,3.0,8775000000,45000000.0,1.0,260,1,1,1,0,0,0
0,105.0,17,36.317441971817,59.510085582733,12.0,4.0,2.0,5600000000,53333333.0,9.0,229,1,1,1,0,0,0
0,225.0,8,36.2910848,59.5651861,1.0,4.0,3.0,12400000000,55111111.0,1.0,106,1,1,1,0,0,0
0,300.0,17,36.310604816622615,59.50447669120178,2.0,8.0,4.0,45000000000,150000000.0,9.0,229,1,1,1,0,0,0
0,95.0,1,36.3737765,59.47582,0.0,2.0,2.0,3160000000,33263157.0,12.0,29,1,1,1,0,0,0
0,160.0,5,36.33234062414125,59.48554209952649,1.0,2.0,3.0,6350000000,39687500.0,9.0,150,1,1,1,0,0,0
0,187.0,8,36.2910848,59.5651861,2.0,4.0,3.0,9700000000,51871657.0,1.0,106,1,1,1,0,0,0
0,142.0,17,36.31978,59.49477,5.0,5.0,3.0,6400000000,45070422.0,9.0,232,1,1,1,0,0,0
0,90.0,12,36.26528,59.60926,1.0,2.0,2.0,1600000000,17777777.0,7.0,259,0,0,0,0,1,0
0,155.0,2,36.33059,59.501698,0.0,3.0,3.0,9300000000,60000000.0,11.0,91,1,1,1,0,0,0
0,128.0,18,36.27278,59.60273,9.0,1.0,2.0,4600000000,35937500.0,8.0,31,1,1,1,0,0,0
0,95.0,15,36.27072,59.63504,1.0,2.0,2.0,1750000000,18421052.0,6.0,190,0,0,1,0,0,0
0,125.0,1,36.3737765,59.47582,3.0,3.0,2.0,3750000000,30000000.0,12.0,29,1,1,1,0,0,0
0,80.0,17,36.310604816622615,59.50447669120178,0.0,0.0,2.0,3680000000,46000000.0,9.0,229,0,0,0,0,0,0
